,pl_name,kepid,disposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,pl_orbper,koi_time0,pl_imppar,pl_trandur,pl_trandep,pl_ratror,pl_dens,pl_rade,pl_orbsmax,pl_orbincl,pl_eqt,pl_insol,pl_ratdor,koi_ldm_coeff1,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_num_transits,koi_quarters,koi_bin_oedp_sig,st_teff,st_logg,st_met,st_rad,st_mass,ra,dec,sy_kepmag,koi_fwm_stat_sig,koi_fwm_srao,koi_fwm_sdeco,koi_fwm_prao,koi_fwm_pdeco,koi_dicco_mra,koi_dicco_mdec,koi_dicco_msky,koi_dikco_mra,koi_dikco_mdec,koi_dikco_msky,lc_amplitude,lc_slope,lc_max,lc_mean,lc_median,lc_meanAbsDev,lc_q1,lc_q3,lc_q31,lc_resBFR,lc_skew,lc_kurtosis,lc_std,lc_lmin
0,K00752.01,10797460,1.0,0.0,0.0,0.0,0.0,9.48803557,2455003.539,0.146,2.9575,615.8,0.022344,3.20796,2.26,0.0853,89.66,793.0,93.59,24.81,0.4603,5.135849,28.47082,35.8,142.0,1.1111111111111112e+31,0.6864,5455.0,4.467,0.14,0.927,0.919,291.93423,48.141651,15.347,0.002,0.43,0.94,-0.0002,-0.00055,-0.01,0.2,0.2,0.08,0.31,0.32,37.31396484375,-0.03446263722069125,11306.51171875,11263.0859375,11261.494140625,1.5927245616912842,11254.5380859375,11270.42333984375,15.88525390625,1.2827298050139275,0.49523725081199704,102668.7265625,13.398539543151855,11231.8837890625
1,K00752.02,10797460,1.0,0.0,0.0,0.0,0.0,54.4183827,2454995.514,0.586,4.507,874.8,0.027954,3.02368,2.83,0.2734,89.57,443.0,9.11,77.9,0.4603,7.027669,20.109507,25.8,25.0,1.1111111111111112e+31,0.0023,5455.0,4.467,0.14,0.927,0.919,291.93423,48.141651,15.347,0.003,-0.63,1.23,0.00066,-0.00105,0.39,0.0,0.39,0.49,0.12,0.5,37.31396484375,-0.03446263722069125,11306.51171875,11263.0859375,11261.494140625,1.5927245616912842,11254.5380859375,11270.42333984375,15.88525390625,1.2827298050139275,0.49523725081199704,102668.7265625,13.398539543151855,11231.8837890625
3,K00754.01,10848459,0.0,0.0,1.0,0.0,0.0,1.736952453,2455003.308,1.276,2.40641,8079.2,0.387394,0.2208,33.46,0.0267,67.09,1395.0,891.96,3.278,0.3556,39.06655,541.8951,505.6,621.0,1.11111101110111e+31,0.0,5805.0,4.564,-0.52,0.791,0.836,285.53461,48.28521,15.597,0.0,-0.111,0.002,0.00302,-0.00142,-0.249,0.147,0.289,-0.257,0.099,0.276,49.69091796875,-0.014369126786607204,8226.41015625,8197.2470703125,8199.0615234375,-1.8146371841430664,8195.25537109375,8202.6904296875,7.43505859375,0.5866408518877058,-3.5174476094995972,320475.40625,11.47103214263916,8127.0283203125
4,K00755.01,10854555,1.0,0.0,0.0,0.0,0.0,2.525591777,2455004.596,0.701,1.6545,603.3,0.024064,1.98635,2.75,0.0374,85.41,1406.0,926.16,8.75,0.3661,4.749945,33.1919,40.9,515.0,1.111111111111111e+30,0.309,6031.0,4.438,0.07,1.046,1.095,288.75488,48.2262,15.509,0.733,-0.01,0.23,8e-05,-7e-05,0.03,-0.09,0.1,0.07,0.02,0.07,499.1064453125,-0.14989832626723715,9272.0595703125,8407.5146484375,8408.64501953125,-1.130751371383667,8381.95263671875,8433.075927734375,51.123291015625,0.9538264404383174,0.3651763792105582,18466162.0,35.36811447143555,8273.8466796875
5,K00756.01,10872983,1.0,0.0,0.0,0.0,0.0,11.09432054,2455004.201,0.538,4.5945,1517.5,0.036779,0.67324,3.9,0.0992,88.11,835.0,114.81,16.36,0.3511,9.046456,55.204865,66.5,95.0,1.111101110111011e+30,0.0975,6046.0,4.486,-0.08,0.972,1.053,296.28613,48.22467,15.714,0.2345212765957447,-0.12,0.14,4e-05,-4.3510638297872336e-05,0.04,-0.07,0.08,-0.02,-0.08,0.08,164.553466796875,0.05303535206909405,7645.75732421875,7342.60693359375,65994.93292366191,0.4105195405476905,65973.67475014545,66017.01824821309,43.343498067652924,1.0765184122429459,1.955692151402644,283911208.0170015,7.044983386993408,7316.650390625
6,K00756.02,10872983,1.0,0.0,0.0,0.0,0.0,4.13443512,2455005.979,0.762,3.1402,686.0,0.026133,0.37377,2.77,0.0514,83.72,1160.0,427.65,6.96,0.3511,5.500643,33.546658,40.2,240.0,1.111101110111011e+30,0.546,6046.0,4.486,-0.08,0.972,1.053,296.28613,48.22467,15.714,0.2345212765957447,0.14,-0.32,-0.00016,-4.3510638297872336e-05,0.25,0.09,0.26,0.18,0.06,0.19,164.553466796875,0.05303535206909405,7645.75732421875,7342.60693359375,65994.93292366191,0.4105195405476905,65973.67475014545,66017.01824821309,43.343498067652924,1.0765184122429459,1.955692151402644,283911208.0170015,7.044983386993408,7316.650390625
7,K00756.03,10872983,1.0,0.0,0.0,0.0,0.0,2.56658897,2455012.554,0.755,2.429,226.5,0.014983,0.48909,1.59,0.0374,82.17,1360.0,807.74,5.54,0.3511,4.3886313,12.325094,15.0,355.0,1.111101110111011e+30,0.4352,6046.0,4.486,-0.08,0.972,1.053,296.28613,48.22467,15.714,0.2345212765957447,0.1,0.3,-4e-05,-4.3510638297872336e-05,-0.33,-0.3,0.45,-0.41,-0.29,0.5,164.553466796875,0.05303535206909405,7645.75732421875,7342.60693359375,65994.93292366191,0.4105195405476905,65973.67475014545,66017.01824821309,43.343498067652924,1.0765184122429459,1.955692151402644,283911208.0170015,7.044983386993408,7316.650390625
8,K00114.01,6721123,0.0,0.0,1.0,1.0,0.0,7.36178958,2454965.251,1.169,5.022,233.7,0.183387,0.00485,39.21,0.082,60.92,1342.0,767.22,2.4,0.3201,10.964684,46.15308,47.7,185.0,1.1111111111111112e+31,0.7213,6227.0,3.986,0.0,1.958,1.358,298.86435,42.151569,12.66,0.0,-13.45,24.09,0.003032,-0.005549,-4.506,7.71,8.93,-4.537,7.713,8.948,110.5390625,-0.0708923456744259,124517.359375,124372.0625,124372.078125,-0.00922818761318922,124357.5546875,124385.28515625,27.73046875,0.998780487804878,0.19136807093414365,1118217.875,23.056570053100586,124296.28125
9,K00757.01,10910878,1.0,0.0,0.0,0.0,0.0,16.06864674,2455006.622,0.052,3.5347,4914.3,0.062161,3.6659,5.76,0.1158,89.92,600.0,30.75,36.85,0.582,20.457163,137.44981,161.9,69.0,1.11111101110111e+31,0.1819,5031.0,4.485,0.16,0.848,0.801,286.99948,48.37579,15.841,0.063,0.033,-0.044,0.00026,0.00049,0.041,-0.015,0.044,0.005,0.03,0.031,35.743408203125,-0.03958464248295795,6563.24853515625,6535.447265625,6535.150390625,0.2964865267276764,6530.20947265625,6540.1923828125,9.98291015625,1.0746835443037974,-0.0882558699529971,24693.8671875,8.316035270690918,6491.76171875
10,K00001.01,11446443,1.0,0.0,0.0,0.0,0.0,2.470613377,2454955.763,0.818,1.74319,14231.0,0.123871,1.83538,13.04,0.0354,84.41,1339.0,761.46,8.3977,0.3928,544.1701,6468.04,4304.3,432.0,1.11111101110111e+31,0.1522,5820.0,4.457,-0.06,0.964,0.971,286.80847,49.316399,11.338,0.0,-0.0232,0.1066,-0.00012,0.00078,-0.009,-0.3,0.3,0.015,-0.27,0.27,3021.125,-1.3414272475141307,406442.71875,406054.25,406165.65625,-111.40985870361328,406111.9921875,406220.5625,108.5703125,0.13333333333333333,-6.55607191179725,12017212588032.0,712.0731201171875,400400.46875
